ID,父id,简称,名称,层级,拼音,长途区号,邮编,首字母,经度,纬度
513423,513400,盐源,盐源县,"<span class=""text-danger"">区/县</span>",Yanyuan,834,615700,Y,101.5097,27.42177
513422,513400,木里,木里藏族自治县,"<span class=""text-danger"">区/县</span>",Muli,834,615800,M,101.2796,27.92875
513401,513400,西昌,西昌市,"<span class=""text-danger"">区/县</span>",Xichang,834,615000,X,102.26413,27.89524
513400,510000,凉山,凉山彝族自治州,"<span class=""text-success"">市</span>",Liangshan,834,615000,L,102.258746,27.886762
513338,513300,得荣,得荣县,"<span class=""text-danger"">区/县</span>",Derong,836,627950,D,99.28628,28.71297
513337,513300,稻城,稻城县,"<span class=""text-danger"">区/县</span>",Daocheng,836,627750,D,100.29809,29.0379
513336,513300,乡城,乡城县,"<span class=""text-danger"">区/县</span>",Xiangcheng,836,627850,X,99.79943,28.93554
513335,513300,巴塘,巴塘县,"<span class=""text-danger"">区/县</span>",Batang,836,627650,B,99.10409,30.00423
513334,513300,理塘,理塘县,"<span class=""text-danger"">区/县</span>",Litang,836,624300,L,100.27005,29.99674
513333,513300,色达,色达县,"<span class=""text-danger"">区/县</span>",Seda,836,626600,S,100.33224,32.26839
513332,513300,石渠,石渠县,"<span class=""text-danger"">区/县</span>",Shiqu,836,627350,S,98.10156,32.97884
513331,513300,白玉,白玉县,"<span class=""text-danger"">区/县</span>",Baiyu,836,627150,B,98.82568,31.20902
513330,513300,德格,德格县,"<span class=""text-danger"">区/县</span>",Dege,836,627250,D,98.58078,31.80615
513329,513300,新龙,新龙县,"<span class=""text-danger"">区/县</span>",Xinlong,836,626800,X,100.3125,30.94067
